text,label
I love this movie,positive
This is so good,positive
good,positive
What a good experience,positive
This is amazing,positive
I'm so happy,positive
I feel really good today,positive
This is nice,positive
Such a nice place to relax,positive
You have a nice smile,positive
Everything is awesome!,positive
The food was excellent and the service was perfect,positive
I'm excited about this opportunity,positive
I feel great today!,positive
What a wonderful experience,positive
I’m feeling blessed and grateful,positive
cute,positive
I hate this,negative
This is awful,negative
I'm so sad,negative
bad,negative
That was a bad experience,negative
This product is bad and disappointing,negative
I’m so angry right now,negative
This is the worst day ever,negative
I’m really frustrated with everything,negative
Terrible service and horrible food,negative
I regret buying this,negative
I feel sick and tired of this situation,negative
That was a complete disaster,negative
This is stupid,negative
You are such an idiot,negative
What a dumb idea,negative
This app is totally useless,negative
Damn this thing!,negative
This is crap,negative
What the hell is this?,negative
That was pure bullshit,negative
You suck,negative
Shut up already,negative
What a jerk,negative
This is freaking terrible,negative
